Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2,K1s,K2s,K3s,tau12s,tau3s
1.398630118370056152e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.635999999999999943e+01,2.767000000000000171e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.899999999999999911e-01,1.638635169199999950e+02,2.000000000000000000e+01
1.428547062873840332e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.635999999999999943e+01,2.773000000000000043e+01,1.000000000000000000e+00,2.999999999999999889e-01,5.000000000000000000e-01,1.619475792700000056e+02,2.000000000000000000e+01
1.458458640575408936e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.642000000000000171e+01,2.792000000000000171e+01,1.000000000000000000e+00,2.999999999999999889e-01,5.100000000000000089e-01,1.604421570799999870e+02,2.000000000000000000e+01
1.488364419937133789e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.654999999999999716e+01,2.798999999999999844e+01,1.000000000000000000e+00,2.999999999999999889e-01,5.200000000000000178e-01,1.581458897500000091e+02,2.000000000000000000e+01
1.518275916576385498e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.667999999999999972e+01,2.798999999999999844e+01,1.000000000000000000e+00,2.999999999999999889e-01,5.300000000000000266e-01,1.563799369799999965e+02,2.000000000000000000e+01
1.548179602622985840e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.667999999999999972e+01,2.833999999999999986e+01,1.000000000000000000e+00,2.000000000000000111e-01,5.400000000000000355e-01,1.542526283900000124e+02,2.000000000000000000e+01
1.578089687824249268e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.693999999999999773e+01,2.844000000000000128e+01,1.000000000000000000e+00,1.000000007800000007e-01,5.500000000000000444e-01,1.525001108099999954e+02,2.000000000000000000e+01
1.607999498844146729e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.700000000000000000e+01,2.844000000000000128e+01,1.000000000000000000e+00,2.000000010000000106e-01,5.544653972999999958e-01,1.514984082500000113e+02,2.000000000000000000e+01
1.637916395664215088e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.700000000000000000e+01,2.873000000000000043e+01,1.000000000000000000e+00,2.999999894500000042e-01,5.548371976599999478e-01,1.513393457599999863e+02,2.000000000000000000e+01
1.667819666862487793e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.707000000000000028e+01,2.896000000000000085e+01,1.000000000000000000e+00,3.999999890000000002e-01,5.527194328100000220e-01,1.496758022699999913e+02,2.000000000000000000e+01
1.697727868556976318e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.732000000000000028e+01,2.912000000000000099e+01,1.000000000000000000e+00,4.999999889999999780e-01,5.427194330000000289e-01,1.461563248500000043e+02,2.000000000000000000e+01
1.727631449699401855e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.735999999999999943e+01,2.933999999999999986e+01,1.000000000000000000e+00,5.999999889999999558e-01,5.327194330000000200e-01,1.421901307900000120e+02,2.000000000000000000e+01
1.757541356086730957e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.745000000000000284e+01,2.962999999999999901e+01,1.000000000000000000e+00,6.657283905199999907e-01,5.227194330000000111e-01,1.390471729500000038e+02,2.000000000000000000e+01
1.787452828884124756e+02,3.664122240872124081e+01,3.173631319376113424e+01,4.764999999999999858e+01,2.982999999999999829e+01,1.000000000000000000e+00,6.103052394000000325e-01,5.127194330000000022e-01,1.354347660399999995e+02,2.000000000000000000e+01
1.817357909679412842e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.764999999999999858e+01,3.007999999999999829e+01,1.000000000000000000e+00,5.724882672900000191e-01,5.027194329999999933e-01,1.317027269200000035e+02,2.000000000000000000e+01
1.847272779941558838e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.764999999999999858e+01,3.030999999999999872e+01,1.000000000000000000e+00,5.608447804599999698e-01,4.927194329999999844e-01,1.289789428599999894e+02,2.000000000000000000e+01
1.877181386947631836e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.764999999999999858e+01,3.060000000000000142e+01,1.000000000000000000e+00,5.315218892399999895e-01,4.827194329999999756e-01,1.260192445899999996e+02,2.000000000000000000e+01
1.907089002132415771e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.764999999999999858e+01,3.094999999999999929e+01,1.000000000000000000e+00,5.276544578599999813e-01,4.727194330000000222e-01,1.226565525599999944e+02,1.997726469999999921e+01
1.937002904415130615e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.764999999999999858e+01,3.117999999999999972e+01,1.000000000000000000e+00,5.090199198499999467e-01,4.627194330000000133e-01,1.193184925900000053e+02,1.961702094900000048e+01
1.966909277439117432e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.764999999999999858e+01,3.139999999999999858e+01,1.000000000000000000e+00,4.739906176900000045e-01,4.527194330000000044e-01,1.164057269999999988e+02,1.861702089999999998e+01
1.996820616722106934e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.764999999999999858e+01,3.162999999999999901e+01,1.000000000000000000e+00,4.470529207799999738e-01,4.427194329999999955e-01,1.133740096199999954e+02,1.762631742199999962e+01
2.026729090213775635e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.742000000000000171e+01,3.194999999999999929e+01,1.000000000000000000e+00,4.273715787499999808e-01,4.327194329999999867e-01,1.104849185700000049e+02,1.662631740000000136e+01
2.056650228500366211e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.732000000000000028e+01,3.217999999999999972e+01,1.000000000000000000e+00,4.111096302500000244e-01,4.227194329999999778e-01,1.077080637699999954e+02,1.571077420800000013e+01
2.086557002067565918e+02,9.838643593433527457e+00,3.173631319376113424e+01,4.707000000000000028e+01,3.250000000000000000e+01,1.000000000000000000e+00,4.004767303499999764e-01,4.127194330000000244e-01,1.039537932899999930e+02,1.537641138100000049e+01
2.116464784145355225e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.700000000000000000e+01,3.272999999999999687e+01,1.000000000000000000e+00,3.973836224499999736e-01,4.027194330000000155e-01,1.007560899799999987e+02,1.535981166200000025e+01
2.146370749473571777e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.700000000000000000e+01,3.324000000000000199e+01,1.000000000000000000e+00,4.065228019800000148e-01,4.005025803999999745e-01,1.022147305000000017e+02,1.535535417300000027e+01
2.176275749206542969e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.667999999999999972e+01,3.363000000000000256e+01,1.000000000000000000e+00,4.208282546500000110e-01,3.970322931599999938e-01,1.031131749299999996e+02,1.582686798800000005e+01
2.206185238361358643e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.635999999999999943e+01,3.375999999999999801e+01,1.000000000000000000e+00,4.609620549899999808e-01,3.890921687100000192e-01,1.081131749999999982e+02,1.618427342100000033e+01
2.236089601516723633e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.632999999999999829e+01,3.407999999999999829e+01,1.000000000000000000e+00,4.669534255300000214e-01,3.860407821299999820e-01,1.065552637699999963e+02,1.718427339999999859e+01
2.266005001068115234e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.603999999999999915e+01,3.463000000000000256e+01,1.000000000000000000e+00,4.748527389900000228e-01,3.827888082800000036e-01,1.054510602799999930e+02,1.818427291600000117e+01
2.295915379524230957e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.567999999999999972e+01,3.495000000000000284e+01,1.000000000000000000e+00,4.787407904400000080e-01,3.807260594799999898e-01,1.037595985199999973e+02,1.918427289999999985e+01
2.325827925205230713e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.542000000000000171e+01,3.546000000000000085e+01,1.000000000000000000e+00,4.983109845099999990e-01,3.732172246300000107e-01,1.055683602299999961e+02,2.000000000000000000e+01
2.355781359672546387e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.525999999999999801e+01,3.575000000000000000e+01,1.000000000000000000e+00,5.231647688199999591e-01,3.632172249999999769e-01,1.105281831599999975e+02,2.000000000000000000e+01
2.385788388252258301e+02,9.838643593433527457e+00,8.249305141378542316e+01,4.507000000000000028e+01,3.627000000000000313e+01,1.000000000000000000e+00,5.461965473300000040e-01,3.532172250000000235e-01,1.150604713500000003e+02,2.000000000000000000e+01
2.415698993206024170e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.478000000000000114e+01,3.707999999999999829e+01,1.000000000000000000e+00,5.670718383799999707e-01,3.432172250000000147e-01,1.192370309899999938e+02,2.000000000000000000e+01
2.445609860420227051e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.467999999999999972e+01,3.739999999999999858e+01,1.000000000000000000e+00,5.884371994000000550e-01,3.332172250000000058e-01,1.238471678700000069e+02,2.000000000000000000e+01
2.475528254508972168e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.442000000000000171e+01,3.775000000000000000e+01,1.000000000000000000e+00,6.095449770599999928e-01,3.232172249999999969e-01,1.288471680000000106e+02,2.000000000000000000e+01
2.505433280467987061e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.422999999999999687e+01,3.832999999999999829e+01,1.000000000000000000e+00,6.243094725400000211e-01,3.132172249999999880e-01,1.338471680000000106e+02,2.000000000000000000e+01
2.535344629287719727e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.410000000000000142e+01,3.868999999999999773e+01,1.000000000000000000e+00,6.387817125400000462e-01,3.032172249999999791e-01,1.388471680000000106e+02,2.000000000000000000e+01
2.565248076915740967e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.413000000000000256e+01,3.932999999999999829e+01,1.000000000000000000e+00,6.536038669000000523e-01,2.932172250000000258e-01,1.438471680000000106e+02,2.000000000000000000e+01
2.595166697502136230e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.442000000000000171e+01,3.982000000000000028e+01,1.000000000000000000e+00,6.560067565999999628e-01,2.832172250000000169e-01,1.488471680000000106e+02,2.000000000000000000e+01
2.625070891380310059e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.446000000000000085e+01,4.020000000000000284e+01,1.000000000000000000e+00,6.715407692599999478e-01,2.732172250000000080e-01,1.538471680000000106e+02,2.000000000000000000e+01
2.654981431961059570e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.457999999999999829e+01,4.061999999999999744e+01,1.000000000000000000e+00,6.845067446799999455e-01,2.632172249999999991e-01,1.588471680000000106e+02,2.000000000000000000e+01
2.684888122081756592e+02,4.477715171213496603e+01,8.249305141378542316e+01,4.475000000000000000e+01,4.117000000000000171e+01,1.000000000000000000e+00,6.914240777100000290e-01,2.532172249999999902e-01,1.638471680000000106e+02,2.000000000000000000e+01
2.714805548191070557e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.507000000000000028e+01,4.152000000000000313e+01,1.000000000000000000e+00,7.033562970400000225e-01,2.432172250000000091e-01,1.688471680000000106e+02,1.998850907099999930e+01
2.744721281528472900e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.539000000000000057e+01,4.200999999999999801e+01,1.000000000000000000e+00,6.964662860500000496e-01,2.379573206599999990e-01,1.738471680000000106e+02,1.898850910000000169e+01
2.774630954265594482e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.571000000000000085e+01,4.242999999999999972e+01,1.000000000000000000e+00,6.902231749699999641e-01,2.369624633200000108e-01,1.788471680000000106e+02,1.798850910000000169e+01
2.804537060260772705e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.575000000000000000e+01,4.259000000000000341e+01,1.000000000000000000e+00,6.801232396399999880e-01,2.417284577000000101e-01,1.838471680000000106e+02,1.698850910000000169e+01
2.834451014995574951e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.610000000000000142e+01,4.310000000000000142e+01,1.000000000000000000e+00,6.742407252700000075e-01,2.517254379400000186e-01,1.888471680000000106e+02,1.598850909999999992e+01
2.864360840320587158e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.635999999999999943e+01,4.339000000000000057e+01,1.000000000000000000e+00,6.654611664499999746e-01,2.617254379999999769e-01,1.938471680000000106e+02,1.498850909999999992e+01
2.894277732372283936e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.635999999999999943e+01,4.332999999999999829e+01,9.983779918999999836e-01,6.614137572699999579e-01,2.717254379999999858e-01,1.988471680000000106e+02,1.409933103500000051e+01
2.924191546440124512e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.667999999999999972e+01,4.400000000000000000e+01,9.987071059600000078e-01,6.511568012699999741e-01,2.817254379999999947e-01,2.000000000000000000e+02,1.349050736899999947e+01
2.954097595214843750e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.700000000000000000e+01,4.428999999999999915e+01,9.872306514399999955e-01,6.394294506000000045e-01,2.717254379999999858e-01,2.000000000000000000e+02,1.253737391399999979e+01
2.984009280204772949e+02,4.477715171213496603e+01,6.708080698983130219e+01,4.742000000000000171e+01,4.452000000000000313e+01,9.743799120799999658e-01,6.285244960900000510e-01,2.617254379999999769e-01,2.000000000000000000e+02,1.153737390000000040e+01
3.013918540477752686e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.771000000000000085e+01,4.500000000000000000e+01,9.585684831899999869e-01,6.193905339599999893e-01,2.517254380000000236e-01,2.000000000000000000e+02,1.053737390000000040e+01
3.043835566043853760e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.803000000000000114e+01,4.532999999999999829e+01,9.491607268999999736e-01,6.135867053400000382e-01,2.417254379999999869e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.073756356239318848e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.860999999999999943e+01,4.532999999999999829e+01,9.491980734099999539e-01,6.132389422599999751e-01,2.417177860099999909e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.103666605949401855e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.893999999999999773e+01,4.554999999999999716e+01,9.494532465699999646e-01,6.112125312599999694e-01,2.417675088300000052e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.133581459522247314e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.925999999999999801e+01,4.600000000000000000e+01,9.496247323199999979e-01,6.100103467699999893e-01,2.418430099299999914e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.163494117259979248e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.928999999999999915e+01,4.632999999999999829e+01,9.534997928299999703e-01,6.077876357200000523e-01,2.490047423800000048e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.193413212299346924e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.957999999999999829e+01,4.667999999999999972e+01,9.589125646699999672e-01,6.069575929999999619e-01,2.544809675499999924e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.223319060802459717e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.957999999999999829e+01,4.696999999999999886e+01,9.619592238699999909e-01,6.063565081499999732e-01,2.592452256200000194e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.253227407932281494e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.928999999999999915e+01,4.710000000000000142e+01,9.670259511800000096e-01,6.051550964099999819e-01,2.692452260000000042e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.283132982254028320e+02,1.805208022752264796e+01,6.708080698983130219e+01,4.896999999999999886e+01,4.722999999999999687e+01,9.725560748099999486e-01,6.039303166199999628e-01,2.792452260000000130e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.313045516014099121e+02,1.805208022752264796e+01,9.990495579087824751e+01,4.915999999999999659e+01,4.752000000000000313e+01,9.797969285199999989e-01,6.027907866799999681e-01,2.892452260000000219e-01,2.000000000000000000e+02,1.000000000000000000e+01
3.342956957817077637e+02,1.805208022752264796e+01,9.990495579087824751e+01,4.922999999999999687e+01,4.796999999999999886e+01,9.946433938099999983e-01,6.004785665399999806e-01,2.992452259999999753e-01,1.993469479999999976e+02,1.000000010800000005e+01
3.372874431610107422e+02,1.805208022752264796e+01,9.990495579087824751e+01,4.925999999999999801e+01,4.807000000000000028e+01,1.000000000000000000e+00,6.000302818499999580e-01,3.092452259999999842e-01,1.994445228799999938e+02,1.001104920100000051e+01
3.402786588668823242e+02,1.805208022752264796e+01,9.990495579087824751e+01,4.925999999999999801e+01,4.845000000000000284e+01,1.000000000000000000e+00,5.963182199400000050e-01,3.112005688899999734e-01,1.976658354699999904e+02,1.003111707000000052e+01
3.432701354026794434e+02,1.805208022752264796e+01,9.990495579087824751e+01,4.922999999999999687e+01,4.877000000000000313e+01,1.000000000000000000e+00,5.951472923999999720e-01,3.096954944799999998e-01,1.969880256799999927e+02,1.004405165600000061e+01
