Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2,K1s,K2s,K3s,tau12s,tau3s
5.384316444396972656e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.636999999999999744e+01,2.360999999999999943e+01,1.000000000000000000e+00,2.999999999999999889e-01,2.899999999999999800e-01,1.800267420200000004e+02,2.000000000000000000e+01
5.683528089523315430e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.732999999999999829e+01,2.380000000000000071e+01,1.000000000000000000e+00,2.999999999999999889e-01,2.999999999999999889e-01,1.798642506699999899e+02,2.000000000000000000e+01
5.982629942893981934e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.839999999999999858e+01,2.385999999999999943e+01,9.764302064700000061e-01,2.999999999999999889e-01,3.099999999999999978e-01,1.748642519999999934e+02,2.000000000000000000e+01
6.281713604927062988e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.959000000000000341e+01,2.412000000000000099e+01,9.531180790800000135e-01,2.999999999999999889e-01,3.200000000000000067e-01,1.698642519999999934e+02,2.000000000000000000e+01
6.580796098709106445e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.056000000000000227e+01,2.414999999999999858e+01,9.309469538800000388e-01,2.999999999999999889e-01,3.300000000000000155e-01,1.648642519999999934e+02,2.000000000000000000e+01
6.879910802841186523e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.152000000000000313e+01,2.444000000000000128e+01,9.083268718800000530e-01,2.999999999999999889e-01,3.400000000000000244e-01,1.598642519999999934e+02,2.000000000000000000e+01
7.179041886329650879e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.275000000000000000e+01,2.453999999999999915e+01,8.860139983300000521e-01,2.999999999999999889e-01,3.499999999999999778e-01,1.548642519999999934e+02,2.000000000000000000e+01
7.478085780143737793e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.378000000000000114e+01,2.476999999999999957e+01,8.648225678800000038e-01,2.999999999999999889e-01,3.599999999999999867e-01,1.498642519999999934e+02,2.000000000000000000e+01
7.777165102958679199e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.475000000000000000e+01,2.498999999999999844e+01,8.443573516000000279e-01,2.999999999999999889e-01,3.699999999999999956e-01,1.448642519999999934e+02,2.000000000000000000e+01
8.076263761520385742e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.571000000000000085e+01,2.508999999999999986e+01,8.271926269699999557e-01,2.999999999999999889e-01,3.800000000000000044e-01,1.398642519999999934e+02,2.000000000000000000e+01
8.375380277633666992e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.667999999999999972e+01,2.537999999999999901e+01,8.082285813499999749e-01,2.999999999999999889e-01,3.900000000000000133e-01,1.348642519999999934e+02,2.000000000000000000e+01
8.674453282356262207e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.771000000000000085e+01,2.544000000000000128e+01,7.880056291799999446e-01,2.999999999999999889e-01,4.000000000000000222e-01,1.298642519999999934e+02,2.000000000000000000e+01
8.973462343215942383e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.877000000000000313e+01,2.573000000000000043e+01,7.682987201099999997e-01,2.999999999999999889e-01,4.099999999999999756e-01,1.248642519999999934e+02,2.000000000000000000e+01
9.272485160827636719e+01,9.056396761745206447e+01,0.000000000000000000e+00,4.957999999999999829e+01,2.592999999999999972e+01,7.566326666699999537e-01,2.999999999999999889e-01,4.199999999999999845e-01,1.216821963600000061e+02,2.000000000000000000e+01
9.571593666076660156e+01,9.056396761745206447e+01,0.000000000000000000e+00,5.054999999999999716e+01,2.605000000000000071e+01,7.545194246799999949e-01,2.999999999999999889e-01,4.299999999999999933e-01,1.207597786599999949e+02,2.000000000000000000e+01
9.870710015296936035e+01,9.056396761745206447e+01,0.000000000000000000e+00,5.147999999999999687e+01,2.637999999999999901e+01,7.624803650700000546e-01,2.999999999999999889e-01,4.400000000000000022e-01,1.219109003500000057e+02,2.000000000000000000e+01
1.016981117725372314e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.235000000000000142e+01,2.646999999999999886e+01,7.793327488700000361e-01,2.999999999999999889e-01,4.500000000000000111e-01,1.247007929300000058e+02,2.000000000000000000e+01
1.046890575885772705e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.345000000000000284e+01,2.669999999999999929e+01,7.970683447399999899e-01,2.999999999999999889e-01,4.600000000000000200e-01,1.276920854399999996e+02,2.000000000000000000e+01
1.076798751354217529e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.411999999999999744e+01,2.701999999999999957e+01,8.118247811800000102e-01,2.999999999999999889e-01,4.699999999999999734e-01,1.301868750900000009e+02,2.000000000000000000e+01
1.106713771820068359e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.474000000000000199e+01,2.708999999999999986e+01,8.330030598800000075e-01,2.999999999999999889e-01,4.799999999999999822e-01,1.336839653799999894e+02,2.000000000000000000e+01
1.136622076034545898e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.540999999999999659e+01,2.733999999999999986e+01,8.459598430400000479e-01,2.999999999999999889e-01,4.899999999999999911e-01,1.358653818999999885e+02,2.000000000000000000e+01
1.166535093784332275e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.635000000000000142e+01,2.757000000000000028e+01,8.609313051000000439e-01,2.999999999999999889e-01,5.000000000000000000e-01,1.383929820900000038e+02,2.000000000000000000e+01
1.196444218158721924e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.728000000000000114e+01,2.769999999999999929e+01,8.687387734599999467e-01,2.999999999999999889e-01,5.100000000000000089e-01,1.396738857500000108e+02,2.000000000000000000e+01
