Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2
2.483085989952087402e+02,2.204541983800000082e+01,3.002232818699999939e+01,3.571999999999999886e+01,3.871999999999999886e+01
2.512993938922882080e+02,2.146285496799999848e+01,3.002232820000000046e+01,3.603999999999999915e+01,3.882000000000000028e+01
2.542901728153228760e+02,2.066833820000000088e+01,3.002232819900000038e+01,3.632999999999999829e+01,3.871999999999999886e+01
2.572813673019409180e+02,2.000398961599999836e+01,3.002232815700000046e+01,3.639999999999999858e+01,3.868999999999999773e+01
2.602716684341430664e+02,2.000398960700000117e+01,3.002232819700000022e+01,3.668999999999999773e+01,3.878000000000000114e+01
2.632632346153259277e+02,1.969777630500000143e+01,3.002232819700000022e+01,3.697999999999999687e+01,3.871999999999999886e+01
2.662548394203186035e+02,1.885190156799999883e+01,3.002232819700000022e+01,3.700999999999999801e+01,3.882000000000000028e+01
2.692461628913879395e+02,1.885190160799999859e+01,3.002232819900000038e+01,3.727000000000000313e+01,3.871999999999999886e+01
2.722371025085449219e+02,1.862781678099999993e+01,3.002232817699999856e+01,3.732999999999999829e+01,3.868999999999999773e+01
2.752285711765289307e+02,1.862781680599999845e+01,3.002232819900000038e+01,3.761999999999999744e+01,3.882000000000000028e+01
2.782189025878906250e+02,1.784774456199999904e+01,3.002232644600000100e+01,3.765999999999999659e+01,3.882000000000000028e+01
2.812092375755310059e+02,1.784774462200000045e+01,3.002232640000000075e+01,3.788000000000000256e+01,3.882000000000000028e+01
2.842001824378967285e+02,1.743749466199999887e+01,3.002232639800000058e+01,3.797999999999999687e+01,3.871999999999999886e+01
2.871911461353302002e+02,1.734423423699999844e+01,3.002232622300000031e+01,3.800999999999999801e+01,3.882000000000000028e+01
2.901814899444580078e+02,1.734424873400000067e+01,3.002232654699999870e+01,3.827000000000000313e+01,3.882000000000000028e+01
2.931721932888031006e+02,1.654268615899999872e+01,3.002232640300000099e+01,3.829999999999999716e+01,3.888000000000000256e+01
2.961633944511413574e+02,1.654268796099999861e+01,3.002232650299999861e+01,3.839999999999999858e+01,3.890999999999999659e+01
2.991544897556304932e+02,1.654268906500000114e+01,3.002232652900000076e+01,3.861999999999999744e+01,3.897999999999999687e+01
3.021453661918640137e+02,1.564984295900000077e+01,3.002232648300000051e+01,3.861999999999999744e+01,3.897999999999999687e+01
3.051361293792724609e+02,1.564984382599999968e+01,3.002232655899999969e+01,3.861999999999999744e+01,3.895000000000000284e+01
3.081272146701812744e+02,1.564984407200000049e+01,3.002232663299999871e+01,3.885000000000000142e+01,3.914000000000000057e+01
3.111186089515686035e+02,1.460157479499999944e+01,3.002232659999999953e+01,3.895000000000000284e+01,3.903999999999999915e+01
3.141099619865417480e+02,4.159626850000000431e+00,3.002232675100000137e+01,3.895000000000000284e+01,3.914000000000000057e+01
3.171012892723083496e+02,5.077768668800000107e+00,3.002232685299999915e+01,3.895000000000000284e+01,3.895000000000000284e+01
3.200931463241577148e+02,5.776417022599999562e+00,3.002232808100000128e+01,3.895000000000000284e+01,3.917000000000000171e+01
3.230844588279724121e+02,6.271380781000000404e+00,3.002232815200000005e+01,3.895000000000000284e+01,3.914000000000000057e+01
3.260760912895202637e+02,6.611534164000000047e+00,3.002232822099999865e+01,3.895000000000000284e+01,3.920000000000000284e+01
3.290671551227569580e+02,6.834253730300000385e+00,3.002232891899999956e+01,3.895000000000000284e+01,3.927000000000000313e+01
3.320580391883850098e+02,3.785190965500000195e-07,1.002232872599999958e+01,3.882000000000000028e+01,3.924000000000000199e+01
3.350487561225891113e+02,1.921108145600000033e-08,0.000000000000000000e+00,3.861999999999999744e+01,3.910999999999999943e+01
3.380392587184906006e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.861999999999999744e+01,3.914000000000000057e+01
3.410298042297363281e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.859000000000000341e+01,3.900999999999999801e+01
3.440209403038024902e+02,1.391790707299999874e-07,0.000000000000000000e+00,3.856000000000000227e+01,3.910999999999999943e+01
3.470122013092041016e+02,1.222145132400000025e-06,4.095134274099999680e-08,3.829999999999999716e+01,3.895000000000000284e+01
3.500025870800018311e+02,1.048639264800000095e-06,0.000000000000000000e+00,3.829999999999999716e+01,3.895000000000000284e+01
3.529944031238555908e+02,1.048533997799999934e-06,0.000000000000000000e+00,3.824000000000000199e+01,3.895000000000000284e+01
3.559852750301361084e+02,4.522775852199999930e-06,2.945137908799999843e-08,3.797999999999999687e+01,3.865999999999999659e+01
3.589762151241302490e+02,7.815163712399999260e-06,0.000000000000000000e+00,3.795000000000000284e+01,3.861999999999999744e+01
3.619677906036376953e+02,3.589473835999999807e+00,0.000000000000000000e+00,3.765999999999999659e+01,3.859000000000000341e+01
3.649593679904937744e+02,2.332677361800000071e+01,5.083016545400000044e-09,3.765999999999999659e+01,3.829999999999999716e+01
3.679509894847869873e+02,1.586551481799999941e+01,8.193678042000000024e-08,3.736999999999999744e+01,3.803999999999999915e+01
3.709420409202575684e+02,2.277837790299999909e+01,0.000000000000000000e+00,3.729999999999999716e+01,3.797999999999999687e+01
3.739329209327697754e+02,1.801212871899999968e+01,0.000000000000000000e+00,3.700999999999999801e+01,3.768999999999999773e+01
3.769235634803771973e+02,4.140816411200000147e+01,0.000000000000000000e+00,3.700999999999999801e+01,3.765999999999999659e+01
3.799149429798126221e+02,2.288153405399999940e+01,0.000000000000000000e+00,3.700999999999999801e+01,3.736999999999999744e+01
3.829050946235656738e+02,1.063324023600000068e+01,2.606600192799999976e-07,3.697999999999999687e+01,3.721000000000000085e+01
3.858961744308471680e+02,1.682705937700000121e+01,0.000000000000000000e+00,3.700999999999999801e+01,3.700999999999999801e+01
3.888869049549102783e+02,1.682705948099999915e+01,0.000000000000000000e+00,3.700999999999999801e+01,3.678999999999999915e+01
3.918779654502868652e+02,1.682705950700000130e+01,0.000000000000000000e+00,3.700999999999999801e+01,3.668999999999999773e+01
3.948691828250885010e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.700999999999999801e+01,3.636999999999999744e+01
3.978596630096435547e+02,9.415812703300000584e-08,1.841444431600000007e-07,3.700999999999999801e+01,3.632999999999999829e+01
